points_per_game,cap_hit
1.71,12600000
1.74,12500000
1.46,11642857
1.34,11250000
1.32,13250000
1.31,14000000
1.09,11600000
1.27,8000000
1.20,11500000
0.82,3500000
0.50,4000000
0.38,2000000
0.71,7000000
0.69,4900000
0.54,900000
0.88,8075000
0.82,7875000
0.17,1450000
0.33,3000000
0.89,7875000
0.79,7850000
0.41,2100000
0.47,6500000
0.83,5250000
1.28,9000000
0.82,6125000
0.57,6250000
0.79,7142857
1.14,8460250
0.88,7750000
0.54,5500000
1.01,8700000
0.96,5500000
0.84,5125000
1.10,9500000
1.10,10000000
1.15,8625000
0.95,8700000
0.94,7875000
1.15,8500000
1.03,8500000
0.84,6000000
0.70,2325000
0.53,5000000
0.44,925000
0.59,3000000
0.55,3250000
0.82,5000000
