"Building Type (Residential = 1, Commercial = 2, Industrial = 3",Square Footage,Number of Occupants,Appliances Used,Average Temperature,"Day of Week(Weekday = 1, Weekend = 0)",Energy Consumption
1,7063,76,10,29.84,1,2713.95
2,44372,66,45,16.72,1,5744.99
3,19255,37,17,14.3,0,4101.24
1,13265,14,41,32.82,1,3009.14
2,13375,26,18,11.92,1,3279.17
2,37377,26,32,16.24,0,4687.67
3,38638,92,14,21.01,0,5526.83
1,34950,60,18,28.24,1,4116.32
3,29741,99,44,13.08,1,5841.65
1,17467,42,36,28.84,1,3419.13
2,27702,71,14,11.3,0,4318.61
2,47265,4,44,25.38,1,5206.34
1,19139,97,34,17.35,1,4070.21
1,17820,11,8,17.8,0,2571.98
1,45868,97,19,22.45,0,5031.14
2,9578,54,47,13.56,0,3891.12
2,4310,34,44,24.62,1,3362.42
3,38446,97,20,23.99,0,5672.37
3,7460,32,23,27.87,1,3563.67
1,10880,19,48,22.67,0,3080.67
2,37912,24,43,10.38,1,4993.7
3,14699,83,40,32.92,1,4750.37
3,18274,32,22,17.87,1,4134.35
2,23898,55,16,26.95,0,3930.14
1,41498,39,27,18.67,0,4411.53
3,41238,22,7,31.95,1,4812.15
1,35611,8,5,23.67,0,3342.21
3,49653,63,12,29.54,1,5754.96
1,30259,35,14,15.39,0,3566.01
1,27072,12,30,32.89,0,3409.14
2,13499,75,41,12.97,1,4230.09
1,46749,22,36,15.41,0,4700.42
2,22931,24,34,24.93,1,3991.89
3,29341,2,13,11.36,0,4190.25
1,3800,5,26,20.96,1,2205.2
1,49094,33,11,14.17,1,4483.83
1,10403,25,26,21.34,1,2733.45
3,31919,77,20,22.84,0,5151.75
1,1841,31,13,15.09,0,2086.62
1,42188,64,43,24.21,1,5038.34
3,20920,89,31,32.76,0,4892.22
2,12093,58,35,10.34,1,3882.94
1,27845,85,21,29.36,0,4015.46
1,36832,20,30,31.23,0,3985.45
3,45162,85,45,12.92,1,6493.48
3,14105,73,26,14.95,1,4430.49
3,34914,99,18,33.43,0,5428.56
1,16025,35,16,21.39,1,2914.3
3,49043,26,48,28.64,0,6028.93
1,29898,63,13,18.75,0,3791.16
1,12615,85,45,11.64,1,3872.54
2,3308,2,24,18.69,1,2621.96
3,35031,3,13,13.09,1,4526.12
1,3211,78,10,28.31,0,2499
1,10496,21,17,31.54,0,2417.11
3,49997,15,22,26.78,1,5505.97
3,38697,17,35,34.03,0,5134.71
3,36484,69,43,15.98,0,5794.31
3,28587,24,14,23.97,0,4329.5
3,28880,89,10,22.15,0,4923.27
3,7559,27,44,10.08,1,4027.56
2,6590,89,32,31.24,1,3753.31
3,44528,78,22,15.51,0,5868.84
2,6288,33,20,25.24,1,2968.2
1,9627,84,41,25.93,0,3511.71
2,36868,10,22,15.14,0,4307.72
2,6859,25,47,25.8,0,3403.93
1,35988,57,47,17.34,0,4722.68
1,18185,97,15,29.66,1,3580.93
3,35633,44,19,11.91,0,5042.08
3,45359,75,35,26.86,1,6133.65
3,36335,6,33,17.4,1,4999.76
1,11844,2,22,20.11,0,2451.63
3,12454,68,35,29.35,0,4355.96
2,13581,73,7,20.74,1,3495.35
3,27428,48,40,21.62,0,5043.32
2,16004,23,47,10.9,0,3915.71
2,48351,4,18,24.42,1,4745.47
3,37880,34,11,11.92,1,4944.4
3,47181,40,16,11.52,1,5571.47
2,13587,68,13,25.69,1,3540.91
3,14882,48,40,27.71,1,4435.54
2,49038,43,25,14.5,1,5359.38
1,41470,77,3,32.58,1,4290.61
2,20579,44,19,22.34,1,3787.26
1,25780,59,33,32.21,1,3927.94
3,44909,4,4,22.06,1,4805.17
1,2259,22,45,24.88,0,2608.53
1,6654,21,24,15,1,2497.72
2,13303,22,32,25.42,1,3448.03
1,26183,68,3,16.82,0,3465.03
2,16434,24,24,17.95,1,3501.94
3,4763,86,32,15.79,1,4209.18
1,29625,55,2,10.62,0,3518.13
2,44361,30,39,22.49,0,5185.62
2,560,68,3,33.63,0,2599.86
1,8745,28,30,17.72,0,2728.63
2,4590,6,35,15.55,1,2961.76
3,19842,15,11,11.29,1,3855.63
2,40166,70,35,13.05,0,5343.05
2,16905,88,26,17.36,0,4158.47
2,10647,46,41,13.13,1,3796.71
2,4970,21,17,29.93,0,2648.85
1,2692,83,13,23.67,1,2656.26
3,981,3,12,28.85,1,2724.82
3,6683,39,41,15.77,1,4015.3
2,6776,84,29,17.2,1,3722.8
1,32153,75,24,33.11,0,4172.08
2,19287,77,34,33.56,0,4246.55
1,1399,32,15,26.19,1,2109.01
1,18949,64,42,23.14,0,3811.73
1,22254,10,17,24.49,1,2980.23
1,33421,41,1,26.97,1,3516.18
1,25262,66,1,29.74,1,3344.42
1,40325,86,31,18.88,0,4901.86
2,36897,30,32,20.36,0,4683.04
